x,y
0.00,2.00
0.07,-0.09
0.14,-0.88
0.21,-0.90
0.28,-0.52
0.35,0.00
0.42,0.50
0.49,0.87
0.57,1.07
0.64,1.10
0.71,0.96
0.78,0.68
0.85,0.31
0.92,-0.13
0.99,-0.57
1.06,-1.00
1.13,-1.38
1.20,-1.67
1.27,-1.87
1.34,-1.95
1.41,-1.91
1.48,-1.75
1.56,-1.47
1.63,-1.08
1.70,-0.60
1.77,-0.03
1.84,0.59
1.91,1.26
1.98,1.95
2.05,2.64
2.12,3.30
2.19,3.92
2.26,4.48
2.33,4.95
2.40,5.32
2.47,5.58
2.55,5.70
2.62,5.68
2.69,5.51
2.76,5.17
2.83,4.67
2.90,3.99
2.97,3.15
3.04,2.12
3.11,0.93
3.18,-0.43
3.25,-1.96
3.32,-3.65
3.39,-5.49
3.46,-7.47
3.54,-9.58
3.61,-11.82
3.68,-14.17
3.75,-16.62
3.82,-19.16
3.89,-21.78
3.96,-24.47
4.03,-27.20
4.10,-29.98
4.17,-32.79
4.24,-35.62
4.31,-38.45
4.38,-41.28
4.45,-44.09
4.53,-46.88
4.60,-49.63
4.67,-52.33
4.74,-54.98
4.81,-57.57
4.88,-60.09
4.95,-62.53
5.02,-64.89
5.09,-67.15
5.16,-69.33
5.23,-71.40
5.30,-73.37
5.37,-75.24
5.44,-76.99
5.52,-78.64
5.59,-80.17
5.66,-81.59
5.73,-82.89
5.80,-84.07
5.87,-85.14
5.94,-86.10
6.01,-86.94
6.08,-87.67
6.15,-88.28
6.22,-88.79
6.29,-89.19
6.36,-89.48
6.43,-89.67
6.51,-89.76
6.58,-89.75
6.65,-89.65
6.72,-89.46
6.79,-89.18
6.86,-88.82
6.93,-88.37
7.00,-87.85
